Iegravecyr	uni0400
vzmetcomb-cy	uniA66F
tenmillionscomb-cy	uniA670
hundredmillionscomb-cy	uniA671
thousandmillionscomb-cy	uniA672
asterisk-cy	uniA673
ieukrainiancomb-cy	uniA674
icomb-cy	uniA675
yicomb-cy	uniA676
ucomb-cy	uniA677
hardsigncomb-cy	uniA678
yerucomb-cy	uniA679
softsigncomb-cy	uniA67A
omegacomb-cy	uniA67B
kavykacomb-cy	uniA67C
payerokcomb-cy	uniA67D
kavyka-cy	uniA67E
payerok-cy	uniA67F
Dwe-cy	uniA680
dwe-cy	uniA681
Dzwe-cy	uniA682
dzwe-cy	uniA683
Zhwe-cy	uniA684
zhwe-cy	uniA685
Cche-cy	uniA686
cche-cy	uniA687
Dzze-cy	uniA688
dzze-cy	uniA689
TeWithMiddleHook-cy	uniA68A
tewithmiddlehook-cy	uniA68B
Twe-cy	uniA68C
twe-cy	uniA68D
Tswe-cy	uniA68E
tswe-cy	uniA68F
Tsse-cy	uniA690
tsse-cy	uniA691
Tche-cy	uniA692
tche-cy	uniA693
Hwe-cy	uniA694
hwe-cy	uniA695
Shwe-cy	uniA696
shwe-cy	uniA697
DoubleO-cy	uniA698
doubleo-cy	uniA699
CrossedO-cy	uniA69A
crossedo-cy	uniA69B
modifierhardsign-cy	uniA69C
modifiersoftsign-cy	uniA69D
efcomb-cy	uniA69E
iotifiedecomb-cy	uniA69F
titlolefthalfcomb-cy	uniFE2E
titlorighthalfcomb-cy	uniFE2F
u1E030	u1E030
u1E031	u1E031
u1E032	u1E032
u1E033	u1E033
u1E034	u1E034
u1E035	u1E035
u1E036	u1E036
u1E037	u1E037
u1E038	u1E038
u1E039	u1E039
u1E03A	u1E03A
u1E03B	u1E03B
u1E03C	u1E03C
u1E03D	u1E03D
u1E03E	u1E03E
u1E03F	u1E03F
u1E040	u1E040
u1E041	u1E041
u1E042	u1E042
u1E043	u1E043
u1E044	u1E044
u1E045	u1E045
u1E046	u1E046
u1E047	u1E047
u1E048	u1E048
u1E049	u1E049
u1E04A	u1E04A
u1E04B	u1E04B
u1E04C	u1E04C
u1E04D	u1E04D
u1E04E	u1E04E
u1E04F	u1E04F
u1E050	u1E050
u1E051	u1E051
u1E052	u1E052
u1E053	u1E053
u1E054	u1E054
u1E055	u1E055
u1E056	u1E056
u1E057	u1E057
u1E058	u1E058
u1E059	u1E059
u1E05A	u1E05A
u1E05B	u1E05B
u1E05C	u1E05C
u1E05D	u1E05D
u1E05E	u1E05E
u1E05F	u1E05F
u1E060	u1E060
u1E061	u1E061
u1E062	u1E062
u1E063	u1E063
u1E064	u1E064
u1E065	u1E065
u1E066	u1E066
u1E067	u1E067
u1E068	u1E068
u1E069	u1E069
u1E06A	u1E06A
u1E06B	u1E06B
u1E06C	u1E06C
u1E06D	u1E06D
u1E08F	u1E08F
Decyr.loclBGR	Decyr.loclBGR
Zhecyr.loclBGR	Zhecyr.loclBGR
Kacyr.loclBGR	Kacyr.loclBGR
Elcyr.loclBGR	Elcyr.loclBGR
vecyr.loclBGR	vecyr.loclBGR
gecyr.loclBGR	gecyr.loclBGR
decyr.loclBGR	decyr.loclBGR
zhecyr.loclBGR	zhecyr.loclBGR
zecyr.loclBGR	zecyr.loclBGR
icyr.loclBGR	icyr.loclBGR
ishortcyr.loclBGR	ishortcyr.loclBGR
kacyr.loclBGR	kacyr.loclBGR
elcyr.loclBGR	elcyr.loclBGR
encyr.loclBGR	encyr.loclBGR
pecyr.loclBGR	pecyr.loclBGR
